index,audio_emb_filepath,text_emb_filepath,top_class,top_class_idx,class,class_idx
185755,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\185755.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\185755.npy,fx,3,fx-o,11
358405,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\358405.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\358405.npy,is,1,is-w,5
358760,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\358760.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\358760.npy,is,1,is-w,5
432206,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\432206.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\432206.npy,fx,3,fx-o,11
80630,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\80630.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\80630.npy,sp,2,sp-s,8
84090,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\84090.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\84090.npy,is,1,is-p,3
145544,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\145544.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\145544.npy,sp,2,sp-p,10
156796,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\156796.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\156796.npy,fx,3,fx-h,14
38633,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\38633.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\38633.npy,is,1,is-p,3
354592,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\354592.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\354592.npy,is,1,is-w,5
63352,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\63352.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\63352.npy,sp,2,sp-c,9
376477,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\376477.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\376477.npy,fx,3,fx-o,11
76567,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\76567.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\76567.npy,ss,4,ss-n,19
119764,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\119764.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\119764.npy,fx,3,fx-m,13
35034,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\35034.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\35034.npy,sp,2,sp-c,9
38886,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\38886.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\38886.npy,fx,3,fx-m,13
76539,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\76539.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\76539.npy,m,0,m-m,2
318557,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\318557.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\318557.npy,fx,3,fx-o,11
52789,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\52789.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\52789.npy,ss,4,ss-u,21
418422,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\418422.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\418422.npy,ss,4,ss-i,20
239077,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\239077.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\239077.npy,m,0,m-sp,0
155747,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\155747.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\155747.npy,ss,4,ss-n,19
273341,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\273341.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\273341.npy,fx,3,fx-o,11
24840,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\24840.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\24840.npy,is,1,is-p,3
126430,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\126430.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\126430.npy,fx,3,fx-n,16
119676,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\119676.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\119676.npy,is,1,is-w,5
153941,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\153941.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\153941.npy,is,1,is-s,4
40293,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\40293.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\40293.npy,m,0,m-si,1
74217,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\74217.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\74217.npy,fx,3,fx-n,16
386297,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\386297.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\386297.npy,fx,3,fx-m,13
216811,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\216811.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\216811.npy,m,0,m-sp,0
70306,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\70306.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\70306.npy,ss,4,ss-n,19
55511,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\55511.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\55511.npy,fx,3,fx-n,16
234883,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\234883.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\234883.npy,fx,3,fx-o,11
187210,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\187210.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\187210.npy,ss,4,ss-u,21
397339,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\397339.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\397339.npy,fx,3,fx-m,13
33563,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\33563.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\33563.npy,fx,3,fx-h,14
55996,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\55996.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\55996.npy,is,1,is-s,4
368566,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\368566.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\368566.npy,is,1,is-w,5
236342,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\236342.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\236342.npy,sp,2,sp-s,8
434970,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\434970.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\434970.npy,m,0,m-si,1
341419,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\341419.npy,C:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\341419.npy,fx,3,fx-o,11
