index,split
812888,train
814852,train
813439,train
826611,train
829235,train
811463,train
804467,train
827280,train
801651,train
808661,train
802778,train
839447,train
816705,train
820152,train
838182,train
818716,train
813663,train
799407,train
825410,train
813926,train
797901,train
834632,train
826474,train
801115,train
842683,train
803619,train
816769,train
833122,train
807600,train
800863,train
815320,train
838103,train
836429,train
822311,train
808137,train
841637,train
818710,train
814373,train
825582,train
803711,train
805111,train
820228,train
822873,train
831254,train
815022,train
831421,train
819753,train
810391,train
817482,train
803166,train
818811,train
820114,train
797696,train
806987,train
841564,train
802582,train
812439,train
801509,train
822563,train
805141,train
806880,train
825613,train
839250,train
810182,train
806272,train
841416,train
809511,train
816092,train
828096,train
842000,train
803549,train
840754,train
822698,train
812555,train
816593,train
837995,train
806169,train
798464,train
808102,train
814366,train
831336,train
798702,train
814763,train
825435,train
810942,train
836581,train
807824,train
804685,train
831073,train
838517,train
834758,train
828606,train
809340,train
818366,train
828485,train
834917,train
840252,train
832843,train
827249,train
830861,train
838001,train
812296,train
801246,train
827747,train
838486,train
839434,train
824059,train
822870,train
825719,train
836341,train
813010,train
828636,train
811700,train
813699,train
805539,train
839335,train
805157,train
813422,train
800101,train
819656,train
814404,train
843079,train
810270,train
806405,train
827488,train
838825,train
817837,train
819490,train
822618,train
814594,train
825966,train
802304,train
828855,train
805114,train
836511,train
801070,train
813693,train
800435,train
831327,train
810045,train
823732,train
803431,train
801459,train
799396,train
836268,train
809293,train
836367,train
831409,train
824581,train
828851,train
810358,train
805336,train
800517,train
799030,train
831216,train
842689,train
842733,train
819010,train
842413,train
813286,train
798898,train
836259,train
835851,train
837346,train
823068,train
823588,train
839864,train
815246,train
832231,train
818124,train
822454,train
839104,train
824638,train
810207,train
815843,train
799670,train
842402,train
839311,train
812126,train
813094,train
834797,train
807021,train
828013,train
811593,train
830711,train
808085,train
802381,train
828214,train
833899,train
843238,train
809899,train
813196,train
842964,train
825871,train
836967,train
810475,train
823739,train
838820,train
806747,train
809572,train
823425,train
819685,train
811698,train
840498,train
828495,train
839716,train
815481,train
832991,train
804472,train
836478,train
816623,train
814689,train
813406,train
843271,train
801571,train
829714,train
837578,train
801847,train
824044,train
811741,train
803407,train
813089,train
814614,train
822979,train
823760,train
840575,train
827825,train
799906,train
831333,train
810454,train
812853,train
843177,train
828626,train
806558,train
838803,train
842549,train
801518,train
817678,train
827146,train
801670,train
810562,train
811844,train
841675,train
816717,train
842108,train
808558,train
812352,train
807027,train
825818,train
828882,train
834705,train
799555,train
810908,train
807811,train
827066,train
801610,train
803761,train
799416,train
817493,train
831040,train
823591,train
820188,train
824431,train
824333,train
830876,train
829163,train
808013,train
807626,train
811861,train
838999,train
820178,train
816394,train
823009,train
815926,train
833862,train
799450,train
839444,train
815256,train
808512,train
801478,train
817245,train
801498,train
817573,train
810483,train
803231,train
838125,train
830471,train
812017,train
801621,train
819172,train
809584,train
810203,train
800338,train
805398,train
842732,train
815474,train
816125,train
813796,train
799651,train
835860,train
798538,train
828115,train
798503,train
803172,train
834769,train
829476,train
837210,train
811088,train
807484,train
830295,train
839941,train
810402,train
801237,train
828385,train
836999,train
841479,train
808009,train
831542,train
815664,train
832266,train
830179,train
832999,train
834300,train
815696,train
818188,train
841935,train
824041,train
805878,train
814398,train
822810,train
826402,train
833989,train
820059,train
806942,train
804497,train
826500,train
834532,train
812573,train
822352,train
828832,train
838542,train
822561,train
798890,train
802166,train
814712,train
810345,train
806784,train
825892,train
802678,train
809831,train
825648,train
833180,train
805375,train
815206,train
798649,train
842621,train
842254,train
828394,train
829445,train
809858,train
814711,train
838037,train
818772,train
832247,train
801837,train
810971,train
807158,train
799917,train
825039,train
807291,train
800186,train
831953,train
802890,train
809735,train
830021,train
807368,train
826635,train
837006,train
810321,train
815202,train
814567,train
812598,train
798522,train
805791,train
817232,train
837191,train
809400,train
825761,train
820075,train
808109,train
800397,train
817024,train
841317,train
829206,train
800343,train
825982,train
833393,train
831623,train
806618,train
839441,train
838787,train
838718,train
839754,train
808666,train
818334,train
809284,train
828205,train
839167,train
843306,train
818727,train
816579,train
819739,train
816318,train
827357,train
809807,train
798685,train
820150,train
820197,train
838576,train
815956,train
835935,train
799046,train
839437,train
842452,train
813559,train
841553,train
800314,train
824410,train
841897,train
811866,train
807115,train
839273,train
817926,train
816866,train
813959,train
808340,train
831032,train
834919,train
836990,train
834529,train
803207,train
831469,train
822896,train
824590,train
816576,train
801127,train
813793,train
836707,train
803156,train
807049,train
835260,train
840292,train
813921,train
801993,train
823287,train
802714,train
839838,train
812382,train
826308,train
802004,train
803043,train
807547,train
841786,train
843032,train
801520,train
830946,train
823928,train
807817,train
832944,train
819416,train
824844,train
839544,train
829264,train
826322,train
830965,train
806847,train
815885,train
823116,train
831247,train
822714,train
838064,train
815676,train
841741,train
800870,train
809237,train
835564,train
829259,train
802841,train
800727,train
819117,train
809360,train
799231,train
806913,train
824310,train
827478,train
841231,train
800371,train
837064,train
831899,train
835224,train
818756,train
841834,train
799831,train
837015,train
825686,train
802719,train
806611,train
840762,train
799977,train
823412,train
809668,train
841662,train
818619,train
809948,train
799718,train
807712,train
828508,train
807058,train
839709,train
802847,train
817446,train
828736,train
840013,train
819339,train
808458,train
809838,train
800062,train
810792,train
837306,train
830199,train
842365,train
814001,train
816402,train
810991,train
828886,train
834882,train
802842,train
828783,train
832953,train
806656,train
813395,train
829074,train
837588,train
828615,train
815211,train
835850,train
800073,train
807793,train
832590,train
840893,train
814662,train
841977,train
800339,train
823005,train
823881,train
836071,train
818152,train
811370,train
808644,train
811997,train
799930,train
839450,train
840081,train
835285,train
804500,train
803913,train
818651,train
823422,train
824308,train
842030,train
831046,train
798626,train
811771,train
838727,train
840940,train
802773,train
835377,train
835273,train
800612,train
836729,train
832997,train
815257,train
822297,train
803408,train
814429,train
822641,train
826442,train
828984,train
839622,train
836483,train
836258,train
825766,train
803892,train
839698,train
827769,train
819667,train
817677,train
819542,train
839078,train
825237,train
808720,train
833639,train
808490,train
823691,train
798317,train
801056,train
839657,train
811483,train
841407,train
833749,train
820107,train
805701,train
807589,train
824253,train
838468,train
806146,train
827658,train
835546,train
806230,train
841417,train
800906,train
800432,train
838789,train
805702,train
809123,train
813144,train
813800,train
834134,train
839760,train
832701,train
807030,train
814148,train
834566,train
804767,train
811032,train
825985,train
834530,train
819064,train
809751,train
825794,train
842955,train
810276,train
805743,train
808769,train
840772,train
800675,train
802990,train
840385,train
819609,train
813837,train
807142,train
828059,train
805176,train
825981,train
803972,train
828103,train
841142,train
814688,train
829908,train
828191,train
824392,train
836955,train
808919,train
813538,train
838196,train
818355,train
837460,train
819622,train
806109,train
830507,train
813281,train
805000,train
840142,train
827861,train
820195,train
830867,train
818464,train
806471,train
828517,train
827732,train
801832,train
