index,split
812908,train
816286,train
810334,train
807560,train
842571,train
810962,train
841521,train
827281,train
810923,train
815316,train
819852,train
833288,train
827809,train
820176,train
839412,train
835376,train
813679,train
802306,train
826727,train
813905,train
797901,train
841550,train
826673,train
807450,train
809463,train
803465,train
832352,train
832936,train
807598,train
818156,train
815260,train
840218,train
824535,train
816264,train
805356,train
841511,train
816520,train
814217,train
825391,train
803460,train
805109,train
820235,train
822867,train
831231,train
814044,train
832425,train
800010,train
818695,train
824379,train
802459,train
842601,train
820016,train
802737,train
806974,train
834607,train
819622,train
811707,train
807194,train
800216,train
841431,train
835935,train
805071,train
839493,train
830206,train
806271,train
801716,train
809468,train
840343,train
828486,train
823297,train
820061,train
811505,train
819732,train
808319,train
816579,train
815637,train
806151,train
834604,train
807519,train
815017,train
831328,train
798748,train
839947,train
825604,train
801553,train
829853,train
807441,train
832831,train
831054,train
837516,train
808044,train
811035,train
826497,train
818456,train
807385,train
834542,train
840530,train
809878,train
827369,train
813365,train
839070,train
797750,train
801223,train
810317,train
838478,train
832790,train
824049,train
822864,train
825587,train
836349,train
831519,train
834103,train
811275,train
813644,train
804909,train
832279,train
828442,train
807513,train
827507,train
825806,train
814388,train
802504,train
838412,train
806367,train
817554,train
837715,train
838694,train
822662,train
822724,train
814581,train
825786,train
802318,train
828872,train
804838,train
836007,train
817921,train
800682,train
835196,train
831320,train
808126,train
823740,train
803507,train
799824,train
799403,train
806268,train
822926,train
836372,train
822303,train
824520,train
800158,train
810238,train
801661,train
799573,train
799033,train
831197,train
842309,train
842769,train
839168,train
807509,train
813083,train
815197,train
822411,train
813116,train
808268,train
838109,train
820345,train
832904,train
814354,train
832287,train
823507,train
801685,train
819472,train
815575,train
810208,train
816139,train
836096,train
828392,train
839328,train
811452,train
812614,train
834475,train
807009,train
809947,train
817135,train
830709,train
808059,train
802408,train
827819,train
833908,train
843241,train
809446,train
837689,train
824411,train
825875,train
836970,train
810353,train
823749,train
800362,train
815745,train
809474,train
823424,train
828560,train
811273,train
812582,train
828481,train
838397,train
815364,train
832899,train
805968,train
819999,train
816622,train
814681,train
808417,train
843311,train
799709,train
824449,train
833539,train
801262,train
824034,train
809150,train
803348,train
812545,train
814599,train
822987,train
823768,train
802711,train
800738,train
827679,train
831326,train
805393,train
812869,train
843109,train
826351,train
806553,train
842144,train
800987,train
811822,train
805781,train
842284,train
823844,train
800840,train
843303,train
824928,train
813716,train
809041,train
809451,train
830194,train
807015,train
825835,train
828956,train
841311,train
818891,train
810414,train
817036,train
827055,train
811054,train
839636,train
799285,train
807467,train
831025,train
822343,train
820208,train
824399,train
824257,train
812521,train
817742,train
807527,train
810115,train
812842,train
842247,train
820221,train
816437,train
823015,train
815092,train
837202,train
808137,train
833303,train
815250,train
808384,train
799902,train
822297,train
841546,train
809985,train
833802,train
802434,train
839507,train
831452,train
811787,train
819543,train
802878,train
809346,train
827265,train
798344,train
841467,train
801569,train
815326,train
818111,train
813772,train
799465,train
835796,train
809426,train
816577,train
838410,train
803239,train
841566,train
829444,train
837933,train
803639,train
839008,train
808925,train
840895,train
810724,train
801216,train
832875,train
837095,train
824384,train
802351,train
801225,train
836141,train
836110,train
830827,train
832999,train
834286,train
815089,train
811789,train
841938,train
824031,train
804773,train
814383,train
822811,train
807189,train
834154,train
818623,train
838029,train
841882,train
809306,train
840358,train
811739,train
814467,train
829080,train
839261,train
822693,train
824213,train
839515,train
817826,train
809232,train
816826,train
809476,train
802681,train
819879,train
841561,train
837302,train
805760,train
809076,train
837236,train
798514,train
834814,train
816863,train
801806,train
814949,train
814693,train
838537,train
819056,train
807791,train
841458,train
814248,train
807114,train
801571,train
832008,train
807091,train
799449,train
831993,train
834693,train
842138,train
830026,train
806892,train
800751,train
833291,train
808607,train
809555,train
814553,train
799644,train
841568,train
816678,train
817224,train
837194,train
804780,train
825769,train
820128,train
807967,train
805058,train
802840,train
808812,train
829187,train
799511,train
825691,train
833418,train
801539,train
806612,train
836164,train
839248,train
833328,train
838376,train
837674,train
822735,train
809596,train
839647,train
833538,train
800098,train
810731,train
816378,train
807181,train
801093,train
827361,train
799615,train
799304,train
820175,train
820233,train
838574,train
815928,train
819608,train
799055,train
839044,train
841721,train
801771,train
842867,train
800307,train
832880,train
841378,train
832158,train
837920,train
839311,train
802207,train
809055,train
813946,train
808221,train
831016,train
835040,train
839635,train
842866,train
832268,train
831499,train
822892,train
826038,train
836472,train
801046,train
813769,train
809557,train
803182,train
807039,train
839872,train
840367,train
813896,train
840174,train
824076,train
808669,train
841571,train
811900,train
831603,train
802024,train
802420,train
841166,train
841797,train
843033,train
808854,train
830938,train
823924,train
807431,train
801825,train
818412,train
814008,train
839545,train
828545,train
831996,train
830957,train
810147,train
836263,train
823124,train
831226,train
830818,train
829906,train
840227,train
815110,train
824804,train
809186,train
835558,train
829270,train
807614,train
838726,train
819229,train
809615,train
799183,train
807224,train
838561,train
827962,train
830797,train
800332,train
839506,train
841923,train
835061,train
801609,train
811408,train
803171,train
826127,train
840637,train
802972,train
806606,train
841962,train
801538,train
823413,train
825541,train
841513,train
799670,train
840877,train
812055,train
807705,train
828507,train
807046,train
839196,train
830180,train
817129,train
828736,train
833972,train
818437,train
808445,train
815872,train
841462,train
805902,train
837308,train
838855,train
842335,train
813984,train
830143,train
819995,train
822317,train
802899,train
824643,train
828030,train
832625,train
806399,train
816711,train
829074,train
840306,train
829596,train
827128,train
840080,train
801729,train
808813,train
832707,train
841831,train
814648,train
842111,train
798323,train
823012,train
823882,train
836029,train
800994,train
811167,train
807656,train
811709,train
818518,train
839531,train
805067,train
838172,train
806774,train
836376,train
818676,train
823422,train
823159,train
842006,train
831029,train
812269,train
830786,train
827587,train
800022,train
843122,train
835137,train
836010,train
830318,train
836739,train
837121,train
815529,train
841306,train
803096,train
814409,train
822645,train
826457,train
828986,train
837991,train
840942,train
839642,train
825805,train
831672,train
835618,train
835395,train
836125,train
807789,train
819552,train
839089,train
825260,train
809003,train
833760,train
808462,train
823686,train
808721,train
828989,train
839852,train
808178,train
813362,train
833569,train
820147,train
818707,train
826601,train
805837,train
838358,train
806131,train
827591,train
835548,train
806207,train
810096,train
800920,train
834580,train
838171,train
808799,train
809143,train
813187,train
813775,train
835869,train
838213,train
832721,train
807021,train
814124,train
840563,train
812622,train
811456,train
826005,train
835010,train
819564,train
819841,train
825860,train
842370,train
841552,train
813162,train
806846,train
805790,train
815698,train
