sound_id,audio_emb_path,text_emb_path,confidence,class,class_top,title,tags,description,audio_text_sim,is_high_conf_4_5,is_conf_5
15,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\15.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\15.npy,4,fx-o,fx,Glass A ff.wav,,"This sample is part of an instrument. There are 39 samples in total named Glass A ff.wav, Glass G# mf.wav, Glass E0 pp.wav, etc. The range is from E0-E1, so this is an octave plus 1. This means the samples can easily be imported into your sampler of choice.This is an idiophone, a wine glass stroke with a iron bark (type of eucalypt) clap stick. This is only one glass, pitching was done by adding water, this also creates a pitch modulating effect, especially on lower FF notes. Recording was done with Studio Projects B-1 condenser microphone. No processing.",0.2786945700645447,1,0
21,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\21.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\21.npy,4,fx-o,fx,Glass B ff.wav,,"This sample is part of an instrument. There are 39 samples in total named Glass A ff.wav, Glass G# mf.wav, Glass E0 pp.wav, etc. The range is from E0-E1, so this is an octave plus 1. This means the samples can easily be imported into your sampler of choice.This is an idiophone, a wine glass stroke with a iron bark (type of eucalypt)clap stick. This is only one glass, pitching was done by adding water,this also creates a pitch modulating effect, especially on lower FFnotes. Recording was done with Studio Projects B-1 condenser microphone. No processing.",0.27637267112731934,1,0
26,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\26.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\26.npy,3,fx-o,fx,Glass C pp.wav,,"This sample is part of an instrument. There are 39 samples in total named Glass A ff.wav, Glass G# mf.wav, Glass E0 pp.wav, etc. The range is from E0-E1, so this is an octave plus 1. This means the samples can easily be imported into your sampler of choice.This is an idiophone, a wine glass stroke with a iron bark (type of eucalypt)clap stick. This is only one glass, pitching was done by adding water,this also creates a pitch modulating effect, especially on lower FFnotes. Recording was done with Studio Projects B-1 condenser microphone. No processing.",0.35197949409484863,0,0
34,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\34.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\34.npy,4,fx-o,fx,Glass D# mf.wav,,"This sample is part of an instrument. There are 39 samples in total named Glass A ff.wav, Glass G# mf.wav, Glass E0 pp.wav, etc. The range is from E0-E1, so this is an octave plus 1. This means the samples can easily be imported into your sampler of choice.This is an idiophone, a wine glass stroke with a iron bark (type of eucalypt)clap stick. This is only one glass, pitching was done by adding water,this also creates a pitch modulating effect, especially on lower FFnotes. Recording was done with Studio Projects B-1 condenser microphone. No processing.",0.27550482749938965,1,0
39,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\39.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\39.npy,3,fx-o,fx,Glass E1 ff.wav,,"This sample is part of an instrument. There are 39 samples in total named Glass A ff.wav, Glass G# mf.wav, Glass E0 pp.wav, etc. The range is from E0-E1, so this is an octave plus 1. This means the samples can easily be imported into your sampler of choice.This is an idiophone, a wine glass stroke with a iron bark (type of eucalypt)clap stick. This is only one glass, pitching was done by adding water,this also creates a pitch modulating effect, especially on lower FFnotes. Recording was done with Studio Projects B-1 condenser microphone. No processing.",0.3958127498626709,0,0
42,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\42.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\42.npy,4,fx-o,fx,Glass F ff.wav,,"This sample is part of an instrument. There are 39 samples in total named Glass A ff.wav, Glass G# mf.wav, Glass E0 pp.wav, etc. The range is from E0-E1, so this is an octave plus 1. This means the samples can easily be imported into your sampler of choice.This is an idiophone, a wine glass stroke with a iron bark (type of eucalypt)clap stick. This is only one glass, pitching was done by adding water,this also creates a pitch modulating effect, especially on lower FFnotes. Recording was done with Studio Projects B-1 condenser microphone. No processing.",0.286182165145874,1,0
44,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\44.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\44.npy,4,fx-o,fx,Glass F pp.wav,,"This sample is part of an instrument. There are 39 samples in total named Glass A ff.wav, Glass G# mf.wav, Glass E0 pp.wav, etc. The range is from E0-E1, so this is an octave plus 1. This means the samples can easily be imported into your sampler of choice.This is an idiophone, a wine glass stroke with a iron bark (type of eucalypt)clap stick. This is only one glass, pitching was done by adding water,this also creates a pitch modulating effect, especially on lower FFnotes. Recording was done with Studio Projects B-1 condenser microphone. No processing.",0.3123694956302643,1,0
46,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\46.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\46.npy,4,fx-o,fx,Glass F# mf.wav,,"This sample is part of an instrument. There are 39 samples in total named Glass A ff.wav, Glass G# mf.wav, Glass E0 pp.wav, etc. The range is from E0-E1, so this is an octave plus 1. This means the samples can easily be imported into your sampler of choice.This is an idiophone, a wine glass stroke with a iron bark (type of eucalypt)clap stick. This is only one glass, pitching was done by adding water,this also creates a pitch modulating effect, especially on lower FFnotes. Recording was done with Studio Projects B-1 condenser microphone. No processing.",0.19270861148834229,1,0
68,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\68.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\68.npy,3,fx-h,fx,Indios3.wav,,Part of a pack of male weird screams,0.2146475613117218,0,0
69,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_audio_embeddings\69.npy,c:\Users\solok\Desktop\Dcase baseline\data\features\clap_text_embeddings\69.npy,4,fx-h,fx,Ohm_loko.wav,,Part of a pack of male weird screams,0.41143572330474854,1,0
