method,score_column,objective,threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,recall_gap,min_recall
mild binary MLP P45,binary_mild_prob45,F1-optimal,0.271,0.6682183278568821,0.6622199592668024,0.9533792699017739,0.7815636079562527,0.6911451909010069,0.5756013640923622,0.5459705727127118,0.19782345828295042,0.9533792699017739,0.8325673025824922,0.7477942877524368,,
mild binary MLP P45,binary_mild_prob45,macro-F1-optimal,0.52,0.6895764877692588,0.7534084173088322,0.745345257293652,0.7493551477632839,0.6703116231030853,0.6714634388040206,0.6708540092166533,0.5975816203143893,0.745345257293652,0.8325673025824922,0.7477942877524368,,
mild binary MLP P45,binary_mild_prob45,balanced recall 123/45,0.5760000000000001,0.6778933917488135,0.7767316745124412,0.6773200410496995,0.7236275354373874,0.66861743470031,0.6780796094003032,0.6688245956745069,0.6788391777509069,0.6773200410496995,0.8325673025824922,0.7477942877524368,0.001519136701207402,0.6773200410496995
mild binary MLP P45,binary_mild_prob45,precision-optimal @ recall>=0.70,0.554,0.679718875502008,0.763946445648709,0.7026828910716904,0.7320351279114166,0.6653991091976992,0.6722604298163772,0.6670269775884632,0.6418379685610641,0.7026828910716904,0.8325673025824922,0.7477942877524368,,
mild binary MLP P45,binary_mild_prob45,recall-optimal @ precision>=0.70,0.386,0.6896677619569186,0.7001287001287001,0.8772907198358012,0.7787610619469026,0.6763408133271147,0.628730003206897,0.6296005798732068,0.38016928657799276,0.8772907198358012,0.8325673025824922,0.7477942877524368,,
5-class expected score 0-1,fiveclass_expected_score_01,F1-optimal,0.497,0.6682183278568821,0.6625178534992858,0.9520598152763524,0.781327076941587,0.6895778175642009,0.5760299076381762,0.5470257997678251,0.2,0.9520598152763524,0.8319526586552979,0.7460013150227611,,
5-class expected score 0-1,fiveclass_expected_score_01,macro-F1-optimal,0.621,0.6846476816356335,0.7686781609195402,0.7059082246004985,0.7359572029040886,0.6705709645177411,0.6777425040777583,0.6722722459518744,0.6495767835550181,0.7059082246004985,0.8319526586552979,0.7460013150227611,,
5-class expected score 0-1,fiveclass_expected_score_01,balanced recall 123/45,0.629,0.6784410368747719,0.7767707284323598,0.6784928896056297,0.7243133265513734,0.6689976091141391,0.6784241957097072,0.6692846606478535,0.6783555018137848,0.6784928896056297,0.8319526586552979,0.7460013150227611,0.0001373877918449118,0.6783555018137848
5-class expected score 0-1,fiveclass_expected_score_01,precision-optimal @ recall>=0.70,0.622,0.6841000365096751,0.7698361708962416,0.7026828910716904,0.734728290028359,0.6705417640950553,0.6780645410618428,0.6721582792499381,0.6534461910519952,0.7026828910716904,0.8319526586552979,0.7460013150227611,,
5-class expected score 0-1,fiveclass_expected_score_01,recall-optimal @ precision>=0.70,0.562,0.6876597298284045,0.7004363722137045,0.8706934467086938,0.7763398692810457,0.6721802369748378,0.6282125032817955,0.6293980048159614,0.3857315598548972,0.8706934467086938,0.8319526586552979,0.7460013150227611,,
5-class P4+P5,fiveclass_p45,F1-optimal,0.374,0.6820007301935013,0.6832912226738438,0.9118897522357425,0.781210751067571,0.6794761563989834,0.6073354444370974,0.5996902118731309,0.30278113663845224,0.9118897522357425,0.8311530819334549,0.7473337461467155,,
