threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,method
0.0,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.001,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.002,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.003,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.004,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.005,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.006,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.007,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.008,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.009000000000000001,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.01,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.011,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.012,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.013000000000000001,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8325673025824922,0.7477942877524368,mild binary MLP P45
