sound_id,split
185755,train
358405,train
358760,train
432206,test
80630,train
84090,train
145544,train
156796,train
38633,test
354592,train
63352,train
376477,train
76567,train
119764,train
35034,train
38886,test
76539,train
318557,train
52789,test
418422,test
239077,train
155747,train
273341,train
24840,val
126430,val
119676,test
153941,train
40293,train
74217,train
386297,train
216811,train
70306,val
55511,test
234883,train
187210,val
397339,train
33563,test
55996,test
368566,train
236342,train
434970,train
341419,train
59013,train
111073,test
353550,train
362908,train
136745,train
380164,train
193974,train
15171,val
16437,val
5163,test
355106,val
191991,train
193747,train
153632,test
50191,train
137538,train
403343,train
24649,train
347038,train
107519,train
23926,train
87778,train
149011,train
392839,val
142692,train
242647,val
120989,train
265056,train
147958,test
276308,train
124677,val
356886,train
353039,train
213724,train
200024,train
38217,train
86437,train
88579,test
156727,val
153994,train
344396,train
173110,train
419197,train
68671,train
88870,val
51374,test
27233,val
232624,test
358952,train
56110,train
114090,train
137462,train
241528,train
15743,train
45610,train
386219,train
121346,train
101059,train
378558,train
360802,train
10834,test
232274,train
196065,val
26906,test
170962,train
153977,val
117981,test
55273,train
96991,train
120670,test
244054,train
75628,train
166433,train
204035,train
57023,val
164561,train
423119,train
147948,test
9235,train
391293,train
378695,train
101460,train
36554,test
102007,train
11765,train
126759,train
374877,train
424395,val
122065,val
146197,test
173946,train
355874,train
71754,train
26630,test
417846,train
273710,test
151544,train
27689,train
248622,train
258055,test
211549,train
420269,train
236500,train
407012,train
13151,train
1076,train
145656,train
62118,train
80816,train
343955,val
111784,train
347315,train
57488,train
74514,test
417996,train
223720,train
369932,train
354483,train
30203,test
316911,train
171115,train
337170,train
61637,train
110651,test
38623,val
102407,test
423473,test
57587,train
82540,train
396280,train
1977,train
138116,train
167264,train
51027,train
99776,train
201183,train
42343,train
477659,train
22889,val
358656,train
4279,train
186660,test
32168,train
20761,train
410241,train
148275,train
126851,val
209413,train
151445,train
247929,train
265290,test
378367,train
236509,train
97311,val
74200,train
485400,val
246946,train
269904,train
168774,train
119317,train
247913,test
373335,test
107123,train
142843,train
10592,train
14998,val
156723,val
236679,val
94243,train
152172,train
129427,train
56697,val
249460,train
16746,train
12834,val
184354,train
178067,train
3046,train
65439,val
83782,train
139301,train
383605,val
3270,train
353397,train
464388,train
34329,val
61516,test
109566,val
248386,train
236528,train
255166,train
83593,train
415391,val
169053,train
25907,train
56966,train
99796,val
173891,train
128841,test
196688,train
180749,train
76461,train
356450,val
340298,train
156754,test
30856,train
3090,train
81879,val
129159,train
30023,val
343896,train
270469,val
164925,train
3909,train
142817,train
349847,val
240674,val
137412,train
152435,train
249464,train
395124,test
54944,train
202002,train
117236,train
156718,val
83905,val
117663,test
151281,val
40116,test
7933,train
86769,train
121080,train
81855,train
16671,val
142663,train
30324,train
148350,train
333862,val
158628,train
61733,train
16200,train
176245,test
133097,train
327401,train
234589,train
220539,val
58654,train
127362,train
152042,train
183735,train
67337,train
26,train
359519,test
81101,train
32552,val
110689,train
156185,train
127228,val
39710,train
63796,train
2734,train
397937,train
413462,test
12866,val
390721,train
405261,val
33718,train
247915,val
236456,val
95842,train
60830,train
416732,train
23484,train
29419,test
154307,train
36331,train
332320,train
40404,train
120653,train
58026,train
157643,val
372703,train
41709,train
23923,train
5998,train
3800,train
374935,val
166436,test
5105,test
171737,train
10803,train
176086,val
191088,val
50267,train
124921,test
41600,train
374737,train
374527,train
360117,train
129454,train
29160,train
89862,test
165385,val
97223,train
339927,train
270517,val
355292,val
63709,test
171473,test
138200,train
192178,train
350513,train
372739,train
31942,train
127635,train
144645,train
155226,train
218876,train
40966,train
369908,train
101602,train
355114,val
74364,train
59039,test
151744,train
274009,val
2434,train
156363,test
64959,val
339369,test
133105,test
48161,val
11191,test
109549,train
