uploader,n,mean_label_quality_score,clean_rate,noisy_top_mismatch_rate,pseudo_label_rate,same_class_rate,dominant_class,dominant_top
perrydolia,1,0.017470340836500002,0.0,0.0,0.0,0.0,ss-n,ss
WayTooBit,1,0.025556606699999998,0.0,0.0,0.0,0.0,ss-s,ss
Redeam,1,0.02861422051193238,0.0,0.0,0.0,0.0,fx-el,fx
Lakkamira,1,0.03436691240652276,0.0,0.0,0.0,0.0,sp-s,sp
Kirsty_Zh,1,0.03632106281237795,0.0,0.0,0.0,0.0,ss-s,ss
nitnatfiftifant,1,0.036356034813944435,0.0,0.0,0.0,0.0,fx-ex,fx
mrcowtown,1,0.03684935215563492,0.0,0.0,0.0,0.0,fx-m,fx
Firsttip,1,0.045047960568698406,0.0,0.0,0.0,0.0,ss-i,ss
bruuunossj,1,0.046847938084862976,0.0,0.0,0.0,0.0,fx-o,fx
ScythicBlade,1,0.04742972940433008,0.0,0.0,0.0,0.0,m-m,m
sadiemil,1,0.048876901679999994,0.0,0.0,0.0,0.0,fx-h,fx
nickrave,1,0.05028418858426734,0.0,0.0,0.0,0.0,fx-o,fx
chesutils,1,0.05101376782122128,0.0,0.0,0.0,0.0,is-k,is
Legacy_of_Sound,1,0.05457763885102085,0.0,0.0,0.0,0.0,is-e,is
gregconquest,1,0.054778465917061925,0.0,0.0,0.0,0.0,fx-ex,fx
nicwas2,1,0.055051076337864824,0.0,0.0,0.0,0.0,is-w,is
zeteeto,1,0.05566973721040852,0.0,0.0,0.0,0.0,fx-n,fx
TheMindOrchestra,1,0.0567628027995031,0.0,0.0,0.0,0.0,ss-n,ss
solidphase,1,0.05700084564425964,0.0,0.0,0.0,0.0,ss-n,ss
ClaudeLeBelge,1,0.0570841276690409,0.0,0.0,0.0,0.0,m-si,m
armandem,1,0.05761853809623983,0.0,0.0,0.0,0.0,fx-el,fx
Magnusmontanus,1,0.05856428047932076,0.0,0.0,0.0,0.0,ss-i,ss
Tokoloshe-1,1,0.05978464830521725,0.0,0.0,0.0,0.0,is-p,is
timpet55,1,0.0625692885,0.0,0.0,0.0,0.0,ss-n,ss
maucigo,1,0.06484789680245745,0.0,0.0,0.0,0.0,ss-i,ss
Adx1111,1,0.06674244582626496,0.0,0.0,0.0,0.0,ss-s,ss
tullio,1,0.06921596106007011,0.0,0.0,0.0,0.0,ss-u,ss
Matthias.Schröder,1,0.06927631027331714,0.0,0.0,0.0,0.0,fx-m,fx
ElSchorscho,1,0.07097864619110132,0.0,0.0,0.0,0.0,fx-o,fx
Belarenal,1,0.07278173053607195,0.0,0.0,0.0,0.0,fx-o,fx
EliasArtista,1,0.07294967245509859,0.0,0.0,0.0,0.0,ss-i,ss
fatribz,1,0.07377498960356488,0.0,0.0,0.0,0.0,fx-el,fx
JamesNewman39,1,0.075445017494392,0.0,0.0,0.0,0.0,sp-s,sp
InfamousLazure,1,0.0785319873,0.0,0.0,0.0,0.0,fx-el,fx
SiriusParsec,1,0.08130221442271335,0.0,0.0,0.0,0.0,ss-u,ss
mrataj,1,0.08247889845390924,0.0,0.0,0.0,0.0,fx-h,fx
makenoisemusic,2,0.08486648896221116,0.0,0.0,0.0,0.0,is-s,is
avventura2046,1,0.08826200891596621,0.0,0.0,0.0,0.0,ss-i,ss
Concord4,1,0.08831673317771453,0.0,0.0,0.0,0.0,ss-s,ss
jeff82mk,1,0.08866469083850245,0.0,0.0,0.0,0.0,is-e,is
