uploader,n,same_class_rate,same_top_class_rate,mean_classifier_confidence,mean_provided_class_probability,dominant_class
Moulaythami,86,0.0,1.0,0.95199144,0.00016409045,fx-h
juhon,44,0.0,0.0,0.7830561,0.1462902,ss-u
ristodromberg,44,0.0,0.0,0.8512079,0.094340436,ss-u
naved_fardeen_khan,40,0.0,0.0,0.8714771,0.09795716,ss-u
matias1111111,39,0.0,0.0,0.80525875,0.16210802,ss-u
LauriT321,37,0.0,0.0,0.86147845,0.09539136,ss-u
Leevij,37,0.0,0.0,0.75514865,0.14541848,ss-u
oonailona,36,0.0,0.0,0.817055,0.16221556,ss-u
MichelleLMM,34,0.0,0.0,0.84445566,0.11325402,ss-u
lematt,34,0.0,1.0,0.96473503,0.00055255945,fx-ex
claravinleb,28,0.0,0.0,0.7357095,0.18791409,ss-u
drrumi,26,0.0,0.0,0.6898471,0.15099175,ss-u
Shampsuli,25,0.0,0.0,0.87490165,0.076509126,ss-u
derjuli,22,0.0,0.5,0.8971138,0.022298768,ss-n
Pate141,18,0.0,0.0,0.82836545,0.12950912,ss-u
1volcano,15,0.0,0.0,0.9811252,0.0042390507,is-p
BEZUPRECHNOST,15,0.0,0.06666666666666667,0.6956737,0.023025654,is-e
brokenmachinery,14,0.0,0.5,0.5132944,0.16789983,is-e
Department64,13,0.0,1.0,0.872785,0.0069866097,fx-m
aotustudios,11,0.0,0.2727272727272727,0.625735,0.091342494,is-e
azumarill,11,0.0,1.0,0.84329724,0.1409202,fx-o
balandino_dd,11,0.0,0.36363636363636365,0.5636677,0.053375743,fx-o
charonfaustinus,11,0.0,0.9090909090909091,0.8106277,0.0021663483,fx-m
dOPdOPdOP,10,0.0,0.0,0.99423665,0.00094384,m-sp
karolus2005,10,0.0,0.6,0.62586325,0.0072297356,fx-o
J0b1Z,9,0.0,1.0,0.65837836,0.072012,fx-n
Krona74,9,0.0,1.0,0.4664285,0.10767411,fx-el
Stoniac,9,0.0,1.0,0.94803405,0.0043768734,fx-m
WaldemarAguilar,9,0.0,0.2222222222222222,0.6632445,0.012224343,is-w
mahecic,9,0.0,1.0,0.797045,0.007559854,fx-n
mateusrameh,9,0.0,0.3333333333333333,0.53201973,0.14551978,ss-i
t3working,9,0.0,0.0,0.99029857,0.00031029296,ss-i
EdenKing_prod,8,0.0,0.0,0.6769961,0.004950253,is-p
areniporgen,8,0.0,0.5,0.70685357,0.071612366,sp-p
gfarge,8,0.0,0.125,0.6255078,0.12794428,ss-n
magnuswaker,8,0.0,0.625,0.69433016,0.11806793,fx-el
